"npi","organization","address_1","address_2","city","state","postal_code","telephone","fax","enumeration_date","last_update_date","focus","taxonomy_code","authorized_official","authorized_official_title","authorized_official_phone"
"1144147232","UNLIMITED PSYCHOLOGY, LLC","251 WALNUT ST","","ARROYO GRANDE","CA","934203111","3072203408","","2026-06-30","2026-06-30","Mental health counselor","101YM0800X","JILL KOEHN","PRACTICE OWNER","3072203408"
"1184541955","JENNIFERFANELLICOUNSELING INC.","521 SW 8TH AVE","","AMARILLO","TX","791012217","8064337945","8064545652","2026-07-02","2026-07-02","Professional counselor","101YP2500X","JENNIFER FANELLI","LICENSED PROFESSIONAL COUNSELOR","8064337945"
"1225955511","INSIGHTFUL EDGE THERAPY LLC","1877 S FEDERAL HWY STE 310","","BOCA RATON","FL","334327411","9546149622","","2026-06-30","2026-06-30","Professional counselor","101YP2500X","CHASE SCOTT","SOLE MBR","9546149622"
"1699692285","PEAK COACHING, PLLC","825 PERRY RD","","APEX","NC","275027702","9196001508","","2026-07-02","2026-07-02","Psychologist","103T00000X","COURTNEY CANTRELL","OWNER PSYCHOLOGIST","9196001508"
"1649197302","YARROW COUNSELING, LLC","105 M ST NE","","AUBURN","WA","980024430","2535183936","2066353554","2026-07-02","2026-07-02","Mental health counselor","101YM0800X","ANGELA ATTRI","OWNER/CLINICAL DIRECTOR","2535183936"
"1164349346","PATRICIA JEAN BASTANI P.C.","101 W BENSON BLVD STE 201","","ANCHORAGE","AK","995033974","9073100755","","2026-06-30","2026-06-30","Mental health clinic","261QM0801X","PATRICIA BASTANI","OWNER","9073100755"
"1063338382","THEN2NOW THERAPY AND CONSULTING","105 TIMBER RIDGE DR","","ALABASTER","AL","350075027","2056151308","","2026-06-29","2026-06-29","Adult mental health clinic","261QM0850X","CONSUELO CLICK","OWNER","2054787353"
"1487571428","GARLAND OF GRACE COUNSELING PLLC","411 CALVARY CV","","JONESBORO","AR","724017099","8702755071","","2026-07-01","2026-07-01","Mental health counselor","101YM0800X","SARAH SLINKARD","OWNER/CLINICAL CO-DIRECTOR","8702755071"
"1235056581","ROOTED IN YOU LLC","16465 E ASHBROOK DR UNIT B","","FOUNTAIN HILLS","AZ","852682008","6028459226","","2026-06-29","2026-06-29","Mental health counselor","101YM0800X","ANDREA KHALIFE","OWNER","4806882553"
"1710804653","BAKERSFIELD ARC INC.","4500 CALIFORNIA AVE","","BAKERSFIELD","CA","933097029","6618342272","","2026-07-01","2026-07-01","Mental health counselor","101YM0800X","CHARLES VAN DE VOORDE","VICE PRESIDENT","6613844034"
"1902722267","COYOTE'S COUNSELING SERVICES LLC","500 MAIN ST","","ALAMOSA","CO","811012691","7195809785","","2026-06-29","2026-06-29","Mental health counselor","101YM0800X","JUAN COYOTE","COUNSELOR","7195888317"
"1326965328","KRISTEN ALLSHOUSE PSYCHOTHERAPY, LLC","3 BARNARD LN STE 102","","BLOOMFIELD","CT","060022452","8603717880","","2026-07-01","2026-07-01","Mental health clinic","261QM0801X","KRISTEN ALLSHOUSE","MANAGER","8603717880"
"1871410332","DB ROSE INC","1200 OAKLEY SEAVER DR STE 213","","CLERMONT","FL","347111960","4074401828","","2026-07-03","2026-07-03","Mental health counselor","101YM0800X","DENISE MARTINEZ","CLINICAL DIRECTOR","4074401828"
"1912824400","IN THE NOW, LLC","11807 NORTHFALL LN STE 902","","ALPHARETTA","GA","300097972","7702401037","","2026-07-04","2026-07-04","Mental health counselor","101YM0800X","MOLLY BRACKETT","CLINICAL DIRECTOR","7702401037"
"1063339166","JMA SERVICES LLC","75-5737 KUAKINI HWY STE 201","","KAILUA KONA","HI","967401725","8084813980","8084814130","2026-07-01","2026-07-01","Marriage and family therapist","106H00000X","JILL AKUNA","OWNER","8084813980"
